,Date,Open,High,Low,Close,Volume,Diff,isLarger
60,2024-10-04,364.2,367.79,359.8232,362.24,2131552,-1.5246636771300501,1
61,2024-10-03,359.55,364.45,359.325,361.24,3646268,0.2760600706713774,0
62,2024-10-02,352.71,357.19,351.34,356.29,2421257,1.3702801461632106,0
63,2024-10-01,354.99,354.99,349.9,351.98,1827309,1.2096887367032565,0
64,2024-09-30,348.65,354.06,347.72,353.48,2425021,-0.4261605773055379,1
65,2024-09-27,356.33,358.34,349.3,349.7,2575382,1.0693674323865707,0
66,2024-09-26,355.01,363.99,349.7,355.81,4454991,-1.7472118959107803,1
67,2024-09-25,335.14,339.75,334.16,337.05,3552701,5.272476883730079,0
68,2024-09-24,337.94,340.62,335.28,339.62,2842859,-0.762498145675707,1
69,2024-09-23,337.38,339.44,334.05,339.21,1998526,0.1207231611801518,0
70,2024-09-20,332.32,336.35,331.87,336.22,5231021,0.8814598626219521,0
71,2024-09-19,340.0,340.38,332.23,335.24,2645896,0.2914758194039564,0
72,2024-09-18,335.0,339.0,332.96,336.18,2150899,-0.2803961341128769,1
73,2024-09-17,355.1,355.28,336.31,337.04,4528964,-0.25581533702182924,1
74,2024-09-16,350.84,354.98,349.63,354.12,2536398,-5.06764775694279,1
75,2024-09-13,351.1,351.4299,348.7945,349.58,1812013,1.2820512820512846,0
76,2024-09-12,350.48,352.42,345.2,349.89,2182279,-0.08867784198180573,1
77,2024-09-11,346.36,350.72,342.24,350.31,2121785,-0.12003772614251318,1
78,2024-09-10,343.81,348.0,342.22,347.7,1655717,0.7450543804059322,0
79,2024-09-09,340.63,342.25,339.09,341.81,1569422,1.6939890710382457,0
80,2024-09-06,340.7,342.4432,336.76,339.84,1613563,0.5763435826921466,0
81,2024-09-05,344.22,344.45,339.5,340.93,1195275,-0.3207391713747825,1
82,2024-09-04,340.0,344.91,338.98,343.99,1478410,-0.8975449505763606,1
83,2024-09-03,341.36,345.54,339.67,341.88,2049328,0.6133899241257126,0
84,2024-08-30,341.0,343.45,338.64,341.95,2004144,-0.02047502047501837,1
85,2024-08-29,340.25,343.87,338.97,340.21,1612584,0.5088463225617801,0
86,2024-08-28,340.56,343.6,335.11,337.39,1527981,0.8288997971840928,0
87,2024-08-27,335.18,340.99,335.0,340.38,2154150,-0.8862147662942021,1
88,2024-08-26,333.08,337.21,331.77,336.78,1692174,1.0576414595452235,0
89,2024-08-23,331.66,333.76,329.67,333.27,1518702,1.0422234099412009,0
90,2024-08-22,333.89,334.07,329.65,330.57,1679226,0.8101539292465532,0
91,2024-08-21,330.84,333.66,330.54,333.6,1233957,-0.9165986024140267,1
92,2024-08-20,329.93,330.57,328.05,330.37,1790106,0.9682254196642646,0
93,2024-08-19,327.56,330.43,327.0,329.44,1678267,0.2815025577383068,0
94,2024-08-16,324.91,327.705,323.27,326.92,2292799,0.7649344341913462,0
95,2024-08-15,322.28,325.21,321.94,325.13,2271669,0.5475345650311993,0
96,2024-08-14,320.0,322.07,318.02,319.83,1404627,1.6301171838956776,0
97,2024-08-13,316.11,320.18,315.13,319.33,2269581,0.15633305193384217,0
98,2024-08-12,315.47,317.4699,312.74,313.96,2276546,1.6816459461998647,0
99,2024-08-09,316.2,317.32,313.2201,315.83,1851305,-0.5956172760861307,1
100,2024-08-08,315.3,319.51,314.47,315.88,2213725,-0.015831301649612328,1
101,2024-08-07,319.95,325.74,317.93,318.02,2327705,-0.677472457895405,1
102,2024-08-06,317.0,322.66,315.72,318.68,2284261,-0.20753411735113048,1
103,2024-08-05,311.61,317.87,310.23,313.74,3186698,1.5501443454248687,0
104,2024-08-02,324.99,326.68,320.35,323.15,2682736,-2.9992987824313104,1
105,2024-08-01,333.88,338.92,326.42,328.08,2538193,-1.5256073031100215,1
106,2024-07-31,331.64,333.93,329.042,330.62,2606401,-0.7742014142892089,1
107,2024-07-30,327.49,330.4499,326.95,329.2,1985465,0.4294960982396816,0
108,2024-07-29,328.66,328.98,323.87,326.2,1629266,0.9113001215066845,0
109,2024-07-26,325.92,329.81,325.211,328.46,2438247,-0.6928264868178928,1
110,2024-07-25,325.59,335.69,323.34,330.12,2764639,-0.5053887840224149,1
111,2024-07-24,329.38,332.54,328.135,328.68,3286450,0.4362050163576896,0
112,2024-07-23,331.43,332.2,327.97,330.33,1994169,-0.5020080321285008,1
113,2024-07-22,330.72,332.82,329.7228,331.51,3419315,-0.3572185390367224,1
114,2024-07-19,331.09,335.79,327.7065,329.19,5376237,0.6998280594853838,0
115,2024-07-18,329.41,336.25,327.84,328.1,4563719,0.3311157690087754,0
116,2024-07-17,325.95,328.57,323.62,325.6,4383856,0.7619628162145631,0
117,2024-07-16,318.38,325.15,318.03,325.0,3640693,0.18427518427519374,0
118,2024-07-15,312.67,319.37,312.67,317.87,3866301,2.1938461538461524,0
119,2024-07-12,299.59,312.02,299.03,310.63,3951627,2.277660678893895,0
120,2024-07-11,295.44,302.18,293.98,297.99,2988052,4.069149792357464,0
121,2024-07-10,296.9,298.0,290.5306,295.44,2283455,0.8557334138729544,0
122,2024-07-09,299.09,299.15,294.4775,298.06,2479254,-0.8868128892499385,1
123,2024-07-08,300.46,301.95,295.6002,299.47,2557914,-0.4730591156143049,1
124,2024-07-05,304.91,305.7,297.68,299.14,3158944,0.11019467726318055,0
125,2024-07-03,304.75,306.89,303.975,305.75,1751215,-2.2096677141137917,1
126,2024-07-02,300.93,304.0,300.93,303.83,2177192,0.6279640228945169,0
127,2024-07-01,303.73,304.36,299.6,302.55,2411300,0.42128822038640124,0
128,2024-06-28,303.54,305.545,301.65,303.41,14905693,-0.28425053710130044,1
129,2024-06-27,305.0,305.465,301.46,303.19,3162199,0.07250914604001935,0
130,2024-06-26,299.92,305.74,299.43,304.62,3162079,-0.47165143969127143,1
131,2024-06-25,307.98,309.9997,305.43,307.17,4498741,-0.8371085286586606,1
132,2024-06-24,305.36,312.37,304.68,307.21,4399601,-0.013022105023281938,1
133,2024-06-21,307.03,310.35,302.58,308.98,8481762,-0.5761531200156469,1
