Date,Open,High,Low,Close,Volume
2023-10-19,175.143,176.935,174.297,174.567,59606320.49935
2023-10-18,174.687,176.671,174.218,174.945,55044608.692781
2023-10-17,175.746,177.512,173.911,176.249,57843834.632896
2023-10-16,175.849,178.163,175.612,177.811,52785717.613048
2023-10-13,180.496,181.003,177.233,177.939,51719386.892549
2023-10-12,179.154,181.412,178.128,179.79,57033478.084301
2023-10-11,177.293,178.934,176.695,178.884,47794420.776684
2023-10-10,177.193,178.805,177.045,177.482,43921625.26286
2023-10-09,175.909,178.138,174.905,178.078,42607688.975267
2023-10-06,172.915,177.084,172.299,176.586,57559713.162283
2023-10-05,172.905,174.557,171.801,174.02,48776239.242854
2023-10-04,170.219,173.323,170.099,172.776,53291595.04969
2023-10-03,171.378,172.746,169.95,171.522,49848392.606597
2023-10-02,170.349,173.413,170.059,172.865,52431465.103288
2023-09-29,171.145,172.189,169.474,170.339,52126460.315102
2023-09-28,168.477,171.155,166.767,169.82,56582482.050466
2023-09-27,171.741,172.159,168.19,169.563,67264252.251093
2023-09-26,173.93,174.307,170.786,171.085,64919451.80429
2023-09-25,173.313,176.069,173.263,175.183,46409009.608409
2023-09-22,173.781,176.178,173.164,173.901,57015653.338002
2023-09-21,173.661,175.403,172.975,173.045,63472255.083986
2023-09-20,178.348,178.78,174.507,174.597,58735203.618147
2023-09-19,176.616,178.715,176.229,178.158,52092143.607753
2023-09-18,175.582,178.467,175.273,177.064,67601735.387488
2023-09-15,175.582,175.597,172.935,174.119,109818550.41218
2023-09-14,173.115,175.203,172.696,174.846,61207365.465518
2023-09-13,175.612,176.397,173.095,173.323,84699133.736329
2023-09-12,178.577,179.214,173.93,175.403,90832623.509928
2023-09-11,179.154,179.382,176.437,178.447,59254719.488448
2023-09-08,177.442,179.321,176.885,177.273,65937757.025585
2023-09-07,174.288,177.303,172.657,176.656,113064417.21382
2023-09-06,187.44,187.89,180.546,181.978,82174167.058038
2023-09-05,187.321,189.012,186.655,188.735,45511728.524494
2023-09-01,188.521,188.952,187.321,188.496,46000693.861146
2023-08-31,186.884,188.157,186.525,186.914,61105557.156476
2023-08-30,183.999,186.894,183.799,186.694,61125077.535289
2023-08-29,178.78,183.959,178.586,183.183,53275173.446835
2023-08-28,179.174,179.67,177.636,179.273,44044931.016011
2023-08-25,176.477,178.238,174.925,177.701,51712865.692934
2023-08-24,179.754,180.181,175.113,175.483,55226960.048802
2023-08-23,177.611,180.626,177.417,180.197,52992538.544383
2023-08-22,176.159,176.775,175.353,176.328,42299593.45206
2023-08-21,174.178,175.233,172.85,174.945,46548860.593815
2023-08-18,171.423,174.208,171.085,173.601,61485172.790635
